nome_empresa;cnpj;site;telefone;email;cidade;uf;segmento;segmento_busca;score;status_prosp;motivo_relevancia;gravado_em
"Atlantica Foods (Atlântica Empresa de Comércio Exterior Ltda)";;https://atlanticafoods.com/;"+55 (11) 4586-1226";atlanticafoods@atlanticafoods.com;Jundiaí;SP;"Indústria/processamento e ingredientes (nuts e sementes) com embalagens tipo big-bag";"sementes, cerealistas e armazenagem";64;NOVO;"Operação industrial ligada a “nuts e sementes” com menção explícita de big-bag; conta com telefone e e-mail corporativo no site.";"2026-04-06 13:43:56"
"Lazarotto Agro LTDA";;https://lazarotto.com.br/;"(55) 3329-2600";sementes@lazarotto.com.br;"Entre Ijuís";RS;"Beneficiadora de sementes / sementes e logística de ensaque (sacaria e big-bag)";"sementes, cerealistas e armazenagem";66;NOVO;"No site institucional menciona uso de sacaria e Big Bag para sementes e possui e-mail/telefone; apesar do UF não estar nos prioritários, é um lead B2B muito aderente ao processo (beneficiamento/ensaque).";"2026-04-06 13:43:56"
"Sigmam Brasil (equipamentos para beneficiamento de sementes / ensaque Big Bag e sacaria)";;https://www.sigmambrasil.com.br/;"(11) 91838-6868";contato@sigmambrasil.com.br;"Várzea Paulista";SP;"Indústria de equipamentos para beneficiamento de sementes (Big Bag e sacaria)";"sementes, cerealistas e armazenagem";60;NOVO;"Apesar de não ser beneficiadora, é B2B industrial muito próximo do seu processo (automatiza TSI e ensaque em Big Bag/sacaria), útil para mapear fabricantes/usuários e ampliar rede de decisores na cadeia de sementes.";"2026-04-06 13:43:56"
"Coprodia (Cooperativa Agrícola dos Produtores de Cana de Campo Novo do Parecis Ltda.)";15.043.391/0001-07;https://usinacoprodia.com.br/fale-conosco;"(65) 3382-5400";contato@coprodia.com.br;"Campo Novo do Parecis";MT;"Cooperativa agroindustrial sucroenergética (etanol/açúcar + bioenergia)";"usinas e bioenergia";68;NOVO;"Mesmo grupo/empresa do lead anterior, mas com CNPJ identificado em fonte pública e ainda com telefone/e-mail no site. Aderência forte a usinas/cooperativas sucroenergéticas com necessidade recorrente de embalagens industriais.";"2026-04-06 13:43:42"
"Millenium Bioenergia";;https://www.milleniumbioenergia.com.br/;"+55 11 2655 7319";contato@milleniumbioenergia.com.br;"Rio de Janeiro (contato corporativo no site)";RJ;"Bioenergia / projetos no setor sucroenergético (etanol/açúcar/commodities)";"usinas e bioenergia";63;NOVO;"Empresa do setor sucroenergético/bioenergia com canais de contato (telefone + e-mail). Não está nos estados prioritários, mas o tema (etanol/açúcar/bioenergia, logística e operação industrial) é altamente aderente para demandas de sacaria/big bag em projetos/implantação.";"2026-04-06 13:43:42"
"Usina Coprodia";;https://usinacoprodia.com.br/fale-conosco;"(65) 3382-5400";contato@coprodia.com.br;"Campo Novo do Parecis";MT;"Cooperativa agroindustrial sucroenergética (açúcar/etanol/bioenergia)";"usinas e bioenergia";70;NOVO;"Atuação industrial sucroenergética e presença clara de canal comercial (telefone + e-mail). Apesar de não estar nos 4 estados prioritários, tem aderência forte ao setor e ao perfil de grande porte.";"2026-04-06 13:43:42"
"São Luiz Bioenergia";;https://saoluizbioenergia.com.br/;"(19) 3565-5555";;Pirassununga;SP;"Usina sucroenergética (açúcar/etanol + bioenergia)";"usinas e bioenergia";82;NOVO;"Usina sucroenergética em SP com produção de etanol/açúcar e geração de energia (biomassa/bagaço); potencial alto para big bags/sacaria de ráfia em logística interna e expedição.";"2026-04-06 13:43:42"
"Fribon Fertilizantes";;https://fribonfertilizantes.com.br/;"(91) 99275-2191";contato@fribonfertilizantes.com.br;Barcarena;PA;"Fertilizantes/insumos agrícolas (B2B potencial)";"fertilizantes e insumos agrícolas";56;NOVO;"Contatos diretos confirmados; porém UF não está entre SP/MG/GO/MT/MS, então só entra se você aceitar expansão nacional fora do filtro de estados (caso contrário, remover).";"2026-04-06 13:43:28"
"POLLI FERTILIZANTES INDUSTRIA E TRANSPORTES S.A.";17.678.286/0001-61;https://www.pollifertilizantes.com.br/;"(41) 3656-3244";contato@pollifertilizantes.com.br;"Rio Verde";GO;"Indústria de fertilizantes e corretivos do solo (mineral/compostos) e logística/transportes";"fertilizantes e insumos agrícolas";88;NOVO;"Fábrica/indústria de fertilizantes (linhas com fertilizante mineral/misto, granulado) e forte operação B2B para agronegócio; contato institucional visível para prospecção de big bag.";"2026-04-06 13:43:28"
"BIOLCHIM BRASIL IMP. E COM. LTDA";00.095.129/0001-20;https://biolchim.com.br/;"+55 54 3252-1051";biolchim@biolchim.com.br;"Tijucas do Sul";PR;"Indústria e fornecedora de bioinsumos/biossoluções para agricultura";"fertilizantes e insumos agrícolas";63;NOVO;"Atuação em produtos voltados à agricultura/biossoluções e presença nacional via distribuidores; pode demandar big bags para insumos granulados/liners logísticos.";"2026-04-06 13:43:28"
"MM Fertilizantes";;https://www.mmfertilizantes.com.br/;;comercial@mmfertilizantes.com.br;Urânia;SP;"Distribuidora/agroinsumos (inclui vagões misturadores e fertilizantes granulados)";"fertilizantes e insumos agrícolas";61;NOVO;"Empresa do agronegócio com atuação em fertilizantes e menção a vagões misturadores; e-mail comercial disponível para abordagem sobre big bags.";"2026-04-06 13:43:28"
"Green Brasil Fertilizantes (Green Brasil Fertilizantes Ltda / Fertilizantes especiais e orgânicos)";44.671.432/0001-08;https://greenbrasilfertilizantes.com.br/;"+55 (17) 99772-2309";greenbrasil01@gmail.com;"Monte Alto";SP;"Fertilizantes especiais/organominerais (foco agronômico)";"fertilizantes e insumos agrícolas";68;NOVO;"Atua em linha de fertilizantes e soluções para agronegócio com estrutura comercial; contato direto disponível para avaliar demanda de big bags (orgânicos/organominerais).";"2026-04-06 13:43:28"
"Greenhas Brasil (GREEN HAS DO BRASIL LTDA)";;https://www.greenhas.com.br/;;;;GO;"Importador e comercialização de fertilizantes/bioestimulantes (B2B)";"fertilizantes e insumos agrícolas";60;NOVO;"Pode demandar embalagem industrial (big bag) para insumos e formulações; porém, nesta coleta não foi possível confirmar telefone/e-mail e CNPJ diretamente no material encontrado.";"2026-04-06 13:43:28"
"POLLIFERTILIZANTES (Filial via operações estaduais da Polli Fertilizantes)";17.678.286/0010-52;https://www.pollifertilizantes.com.br/contato/;"(41) 3656-3244";contato@pollifertilizantes.com.br;"Campo Grande";MS;"Distribuição/atacado agrícola de fertilizantes (rede da Polli)";"fertilizantes e insumos agrícolas";84;NOVO;"Operação no MS com alinhamento ao agroinsumo e contato corporativo disponível; bom alvo para big bags em logística/armazenagem.";"2026-04-06 13:43:28"
"Agroplanta (Fertilizantes e Inovações)";;https://agroplanta.com.br/contato/;;;;SP;"Fertilizantes e soluções para agricultura (industrial/comercial)";"fertilizantes e insumos agrícolas";60;NOVO;"Possível demanda de big bags por ser empresa focada em fertilizantes; porém, nesta coleta não foi possível extrair telefone/e-mail e CNPJ de forma confiável a partir do conteúdo retornado.";"2026-04-06 13:43:28"
"MIM Fertilizantes";;https://mimfertilizantes.com.br/;;contato@mimfertilizantes.com.br;;SP;"Fertilizantes para nutrição de plantas (agronegócio)";"fertilizantes e insumos agrícolas";61;NOVO;"Contém e-mail direto e é focada em soluções para agricultura; pode usar embalagens industriais conforme linha (granulado/organomineral). Nesta coleta não foi possível confirmar CNPJ/telefone.";"2026-04-06 13:43:28"
"MIM Fertilizantes (Contato)";;https://mimfertilizantes.com.br/contato.html;;contato@mimfertilizantes.com.br;;SP;"Fertilizantes e nutrição de plantas (B2B)";"fertilizantes e insumos agrícolas";60;NOVO;"Contato por e-mail disponível para abordagem; restante de dados (CNPJ/telefone/localidade) não foi recuperado nesta coleta com segurança.";"2026-04-06 13:43:28"
"Premiagro Indústria e Comércio Ltda";40.301.650/0001-91;https://www.premiagro.com/;;;Divinópolis;MG;"Indústria / Rações para animais de companhia (pet food)";"nutrição animal";61;NOVO;"Pet food industrial com CNPJ e site ativo; porém não foi possível verificar telefone/e-mail nos trechos capturados.";"2026-04-06 13:42:59"
"Trevo Nutrição Animal (Trevo Rações)";;https://trevoracoes.com.br/contato/;"(19) 3866-2740 / 3866-4042";"comercial@trevonutricaoanimal.com / sac@trevoracoes.com.br";Conchal;SP;"Indústria / Nutrição animal (atende distribuidor/atacado; contato comercial)";"nutrição animal";78;NOVO;"Contato B2B (distribuidor/atacadista) e operação de nutrição animal com forte potencial de alto volume de embalagens.";"2026-04-06 13:42:59"
"Vigorata por Nutral Alimentação Animal Ltda";34.577.716/0001-78;https://vigorata.com.br/;"(45) 3197 9964";contato@vigorata.com.br;Cafelândia;PR;"Indústria / Rações para nutrição animal (inclui industrialização; site indica contato comercial)";"nutrição animal";85;NOVO;"Operação industrial de nutrição animal com CNPJ, telefone e e-mail no site — boa aderência para sacaria e logística de insumos.";"2026-04-06 13:42:59"
"PECPro Nutrição Animal";;https://www.pecpro.com.br/;"+55 (35) 3291-7058 / 98807-2597";;Alfenas;MG;"Indústria / Premixes, núcleos e suplementos minerais (nutrição animal)";"nutrição animal";73;NOVO;"Produz premixes/núcleos/suplementos com estrutura industrial e contato direto por telefone (potencial de compra recorrente de sacaria/big bag).";"2026-04-06 13:42:59"
"Premix (Pesquisa: Fator P / Premix Company) - Fator P / Premix Company";;https://premix.com.br/;;;"Patrocínio Paulista";SP;"Indústria / Premix para nutrição animal";"nutrição animal";68;NOVO;"Empresa focada em premix (ingredientes e formulações), normalmente consumidora de embalagens industriais (sacaria e big bag).";"2026-04-06 13:42:59"
"PECPRO Nutrição Animal";;https://www.pecpro.com.br/contato;"+55 (35) 3291-7058 / 98807-2597";;Alfenas;MG;"Indústria / Premixes, núcleos e suplementos minerais";"nutrição animal";60;NOVO;"Repetido acima por validação parcial; manter como lead apenas se necessário (faltou CNPJ/e-mail verificáveis nos trechos capturados).";"2026-04-06 13:42:59"
"Agrovale (Cooperativa) - Nutrição animal (rações/sais/proteinados)";;https://agrovale.com.br/;"(64) 3615-9000";;Quirinópolis;GO;"Agroindústria / Indústria de nutrição animal e armazém graneleiro";"nutrição animal";66;NOVO;"Perfil agroindustrial com indústria de nutrição animal e estrutura de armazenagem/granel — forte potencial de sacaria/big bag.";"2026-04-06 13:42:59"
"Inbra - Indústria Brasileira de Nutrição Animal Ltda";34.076.014/0001-00;https://inbra.ind.br/;"+55 (19) 3867-1633";comercial@inbranutri.com.br;Jaguariúna;SP;"Indústria / Nutrição animal (premix/suplementos para diversas espécies)";"nutrição animal";92;NOVO;"Forte aderência a nutrição animal industrial e contato comercial direto para linha de produtos (boa demanda potencial por sacaria/big bag).";"2026-04-06 13:42:59"
